Gebirge	Gruppe	Typ	Name	BGrad	BMinuten	BSekunden	LGrad	LMinuten	LSekunden	Höhe				
Berner	Berner	Hütte	Anenhütte	46	27	16	7	54	41,88	2358				
Berner	Berner	Talort	Berghaus Oberaar	46,548944			8,277274			2340				
Berner	Berner	Talort	Fafleralp/Lötschental	46	26	26	7	51	42,4	1800				
Berner	Berner	Hütte	Finsteraarhornhütte	46	31	19	8	6	52	3048				
Berner	Berner	Scharte	Grünhornlücke	46	30	49,5	8	5	0,7	3280				
Berner	Berner	Hütte	Hollandiahütte	46	28	28	7	57	36,9	3235				
Berner	Berner	Hütte	Konkordiahütte	46	30	30	8	3	11,69	2850				
Berner	Berner	Berg	Oberaarhorn	46	31	53,5	8	10	27,8	3631				
Berner	Berner	Hütte	Oberaarjochhütte	46	31	33,7	8	10	23,1	3256				
Bernina	Bernina	Hütte	Coazhütte	46	23	0,6	9	50	7,3	2610				
Bernina	Bernina	Scharte	Fuorcla Surlej	46	25	45,6	9	50	23,4	2755				
Bernina	Bernina	Hotel	Hotel Rosegg	46,437619			9,866304			2006				
Bernina	Bernina	Berg	Il Chapütschin	46	22	29	9	49	9	3386				
Bernina	Bernina	See	Lej da Vadret	46	24	1,18	9	50	49,71	2160				
Bernina	Bernina	Seilbahn	Mittelstation Murtèl	46	25	57,6	9	49	25,5	2702				
Bernina	Bernina	Berg	Piz Morteratsch	46	24	9	9	54	6	3751				
Bernina	Bernina	Talort	Pontresina	46	29	24	9	54	0	1805				
Bernina	Bernina	Talort	Surlej	46	27	32	9	48	38	1809				
Bernina	Bernina	Hütte	Tschiervahütte	46	24	14	9	52	48,5	2573				
Hohe Tauern	Hohe Tauern	Hütte	Alm / Hochschoberhütte?											
Hohe Tauern	Hohe Tauern	Berg	Hochschober	46	56	34	12	41	54	3242				
Hohe Tauern	Hohe Tauern	Talort	Lienz	46,82769			12,76272			677				
Hohe Tauern	Hohe Tauern	Seilbahn	Lienzer Bergbahn Bergstation	46,841748			12,775955			729				
Hohe Tauern	Hohe Tauern	Hütte	Lienzer Hütte	46,934814			12,7465332			1979				
Hohe Tauern	Hohe Tauern	Talort	Parkplatz (Leibnitztal?) / Lessach											
Mont Blanc	Mont Blanc	Berg	Aiguille du Tour	45	59	40,31	7	0	36,05	3542				
Mont Blanc	Mont Blanc	Hütte	Cabane d'Orny	46	0	6,89	7	3	45,94	2831				
Mont Blanc	Mont Blanc	Hütte	Cabane du Trient	45	59	58,48	7	2	37,87	3170				
Mont Blanc	Mont Blanc	Talort	Champex-Lac	46	1	53,32	7	6	23,77	1485				
Mont Blanc	Mont Blanc	Seilbahn	La Breya	46	1	17,9	7	6	11,5	2184				
Mont Blanc	Mont Blanc	Berg	Pointe d'Orny	46,00			7			3271				
Ortler	Ortler	Hütte	Casatihütte	46,463158			10,602489			3269				
Ortler	Ortler	Berg	Cevedale	46,4435349			10,6165695			3728				
Ortler	Ortler	Talort	Enzianhütte	46	29	17,57	10	41	14,01	2051				
Ortler	Ortler	Berg	Hintere Schöntaufspitze	46	30	10	10	37	43	3325				
Ortler	Ortler	Berg	Köllkuppe	46,4498777			10,683217			3330				
Ortler	Ortler	Hütte	Madritsch Hütte 	46	29	40	10	36	56	2900				
Ortler	Ortler	Hütte	Martellerhütte	46,4696313			10,6731481			2610				
Ortler	Ortler	Seilbahn	Sulden Seilbahn Bergstation	46	29	26	10	35	56	2606				
Ortler	Ortler	Talort	Sulden Seilbahn Talstation	46	30	52	10	35	49	1915				
Ortler	Ortler	Berg	Vordere Rotspitze	46	28	38	10	42	22	3033				
Ortler	Ortler	Hütte	Zufallhütte	46,4815139			10,6791723			2264				
Ötztal	Ötztaler	Hütte	Breslauer Hütte	46,8682162			10,8792543			2852				
Ötztal	Ötztaler	Berg	Dahmannspitze	46	50	50	10	46	35	3401				
Ötztal	Ötztaler	Berg	Fluchtkogel	46	51	28	10	47	33	3500				
Ötztal	Ötztaler	Hütte	Vernagt Hütte	46	51	13	10	49	26	2766				
Ötztal	Ötztaler	Berg	Wildspitze	46	53	7	10	52	2	3768				
Ötztaler	Ötztaler	Hütte	Bergl-Alm	46	43	26,96	10	48	5,26	2214				
Ötztaler	Ötztaler	Hütte	Brandenburger Haus	46	50	40	10	46	40	3277				
Ötztaler	Ötztaler	Seilbahn	Doppelsessel Wildspitze	46,8632655			10,9031923			2364				
Ötztaler	Ötztaler	Hütte	Hochjochhospitz	46,8252007			10,8338392			2413				
Ötztaler	Ötztaler	Berg	Kreuzspitze	46,8090849			10,8687164			3457				
Ötztaler	Ötztaler	Hütte	Martin Busch Hütte	46,8010546			10,8869255			2505				
Ötztaler	Ötztaler	Hütte	Oberetteshütte	46,764893			10,711096			2659				
Ötztaler	Ötztaler	Scharte	Ötzi Fundort	46	46	44	10	50	24	3210				
Ötztaler	Ötztaler	Berg	Saldurspitze	46	44	24,38	10	44	6,37	3433				
Ötztaler	Ötztaler	Hütte	Similaunhütte	46	46	20,6	10	51	16,3	3019				
