Tour	Abschnitt	Name	Datum	Reihenfolge		
Spaghetti		Zermatt Bahnhof	09.07.2017	10		
Spaghetti		Edelweisshütte	09.07.2017	20		
Spaghetti		Hotel du Trift	09.07.2017	30		
Spaghetti		Mettelhorn	10.07.2017	100		
Spaghetti		Platthorn	10.07.2017	110		
Spaghetti		Hotel du Trift	10.07.2017	120		
Spaghetti		Edelweisshütte	11.07.2017	200		
Spaghetti		Zermatt Bahnhof	11.07.2017	210		
Spaghetti		Zermatt Talstation	11.07.2017	220		
Spaghetti		Bergstation Trockener Steg	11.07.2017	220		
Spaghetti		Gandegghütte	11.07.2017	230		
Spaghetti		Bergstation Trockener Steg	12.07.2017	300		
Spaghetti		Bergstation Klein Matterhorn	12.07.2017	305		
Spaghetti		Breithorn Westgipfel	12.07.2017	330		
Spaghetti		Breithorn Mittelgipfel	12.07.2017	320		
Spaghetti		Bergstation Klein Matterhorn	12.07.2017	350		
Spaghetti		Castor	13.07.2017	400		
Spaghetti		Rifugio Quintino Sella	13.07.2017	410		
Spaghetti		Schneedomspitze	14.07.2017	500		
Spaghetti		Signalkuppe	14.07.2017	510		
Spaghetti		Capanna Regina Margherita	14.07.2017	520		
Spaghetti		Monte Rosa Hütte	15.07.2017	600		
Spaghetti		Rotenboden	15.07.2017	610		
Spaghetti		Zermatt Bahnhof	15.07.2017	620		
Bernina		Il Chapütschin	20.09.2016	50		
Bernina		Coazhütte	19.09.2016	40		
Bernina		Pontresina	23.09.2016	110		
Bernina		Lej da Vadret	21.09.2016	65		
Bernina		Tschiervahütte	21.09.2016	70		
Bernina		Piz Morteratsch	22.09.2016	80		
Bernina		Mittelstation Murtèl	19.09.2016	20		
Bernina		Surlej	19.09.2016	10		
Bernina		Fuorcla Surlej	19.09.2016	30		
Bernina		Coazhütte	20.09.2016	60		
Bernina		Tschiervahütte	22.09.2016	90		
Bernina		Hotel Rosegg	23.09.2016	101		
Berner		Oberaarhorn	17.07.2014	550		
Berner		Oberaarjochhütte	17.07.2014	570		
Berner		Oberaarjochhütte	17.07.2014	500		
Berner		Grünhornlücke	16.07.2014	350		
Berner		Finsteraarhornhütte	16.07.2014	400		
Berner		Konkordiahütte	15.07.2014	300		
Berner		Anenhütte	13.07.2014	100		
Berner		Hollandiahütte	14.07.2014	200		
Berner		Fafleralp/Lötschental	13.07.2014	20		
Berner		Berghaus Oberaar	18.07.2014	650		
Monte Rosa	Aiguille du Tour	Champex-Lac	02.08.2015	10		
Monte Rosa	Aiguille du Tour	La Breya	02.08.2015	20		
Monte Rosa	Aiguille du Tour	Cabane d'Orny	02.08.2015	30		
Monte Rosa	Aiguille du Tour	Cabane du Trient	02.08.2015	40		
Monte Rosa	Aiguille du Tour	Pointe d'Orny	02.08.2015	50		
Monte Rosa	Aiguille du Tour	Cabane du Trient	02.08.2015	60		
Monte Rosa	Aiguille du Tour	Aiguille du Tour	03.08.2015	100		
Monte Rosa	Aiguille du Tour	Cabane du Trient	03.08.2015	110		
Monte Rosa	Aiguille du Tour	Cabane d'Orny	04.08.2015	200		
Monte Rosa	Aiguille du Tour	La Breya	04.08.2015	210		
Monte Rosa	Aiguille du Tour	Champex-Lac	04.08.2015	220		
Monte Rosa	Monte Rosa	Gressoney-La-Trinité	05.08.2015	300		
Monte Rosa	Monte Rosa	Gnifettihütte	05.08.2015	350		
Monte Rosa	Monte Rosa	Signalkuppe	06.08.2015	400		
Monte Rosa	Monte Rosa	Capanna Regina Margherita	06.08.2015	410		
Monte Rosa	Monte Rosa	Punta Indren	05.08.2015	330		
Monte Rosa	Monte Rosa	Gressoney-La-Trinité	06.08.2015	470		
Monte Rosa	Monte Rosa	Punta Indren	06.08.2015	450		
Ridnaun		Teplitzer Hütte	14.07.2007	50		
Ridnaun		Becherhütte	15.07.2007	120		
Ridnaun		Wilder Freiger	15.07.2007	150		
Ridnaun		Müllerhütte	15.07.2007	170		
Ridnaun		Schneeberghütte	16.07.2007	270		
Ridnaun		Sonklarspitze	16.07.2007	250		
Ridnaun		Maiern	14.07.2007	10		
Ridnaun		Maiern	17.07.2007	350		
Schlanders		Zerminiger Südwestgipfel	21.07.2001	50		
Schlanders		Tappein	21.07.2001	5		
Schlanders		Tappein	21.07.2001	95		
Schlanders		Sulden Seilbahn Talstation	22.07.2001	110		
Schlanders		Sulden Seilbahn Bergstation	22.07.2001	120		
Schlanders		Hintere Schöntaufspitze	22.07.2001	150		
Schlanders		Madritsch Hütte 	22.07.2001	170		
Schlanders		Sulden Seilbahn Bergstation	22.07.2001	180		
Schlanders		Sulden Seilbahn Talstation	22.07.2001	190		
Mattertal		Zermatt Talstation	07.07.2013	10		
Mattertal		Klein Matterhorn	07.07.2013	60		
Mattertal		Bergstation Klein Matterhorn	07.07.2013	20		
Mattertal		Breithorn Westgipfel	07.07.2013	50		
Mattertal		Breithorn Mittelgipfel	07.07.2013	40		
Mattertal		Zermatt Talstation	07.07.2013	90		
Mattertal		Bergstation Klein Matterhorn	07.07.2013	70		
Mattertal		Ottafe	08.07.2013	100		
Mattertal		Täschhütte	08.07.2013	110		
Mattertal		Feechopf	09.07.2013	200		
Mattertal		Ottafe	09.07.2013	250		
Mattertal		Gasenried	10.07.2013	300		
Mattertal		Bordierhütte	10.07.2013	310		
Mattertal		Ulrichshorn	11.07.2013	450		
Mattertal		Bordierhütte	11.07.2013	470		
Mattertal		Gasenried	12.07.2013	500		
Verwall		Pettneu	16.08.2002	10		
Verwall		Edmund Graf Hütte	16.08.2002	20		
